109019,,25,1208,2183,2183,,,,,,,,,,,,,,,,,,
109021,,0,39,165,165,,,,,,,,,,,,,,,,,,
109024,,0,1238,1420,1851,,,,,,,,,,,,,,,,,,
109025,,0,3,3,3,,,,,,,,,,,,,,,,,,
109026,,0,1154,1216,1216,,,,,,,,,,,,,,,,,,
109027,,0,0,88,88,,,,,,,,,,,,,,,,,,
109028,,0,1317,1735,3034,,,,,,,,,,,,,,,,,,
109029,,0,1487,1616,1616,,,,,,,,,,,,,,,,,,
109030,,0,52,187,187,,,,,,,,,,,,,,,,,,
109031,,59,3751,4089,4343,,,,,,,,,,,,,,,,,,
109032,,0,442,446,446,,,,,,,,,,,,,,,,,,
109033,,0,5748,5750,5750,,,,,,,,,,,,,,,,,,
109034,,506,4372,4800,4871,,,,,,,,,,,,,,,,,,
109035,,0,1619,1628,1628,,,,,,,,,,,,,,,,,,
109036,,0,1974,2320,2324,,,,,,,,,,,,,,,,,,
109037,,0,8595,8804,8804,,,,,,,,,,,,,,,,,,
109038,,0,0,0,0,,,,,,,,,,,,,,,,,,
109039,,0,115,391,391,,,,,,,,,,,,,,,,,,
109040,,395,1898,2571,2667,,,,,,,,,,,,,,,,,,
109041,,0,1371,1821,2063,,,,,,,,,,,,,,,,,,
109042,,623,2249,3450,3545,,,,,,,,,,,,,,,,,,
109043,,11,2161,3230,3312,,,,,,,,,,,,,,,,,,
109044,,862,5547,10473,12074,,,,,,,,,,,,,,,,,,
109045,,398,4949,5307,5307,,,,,,,,,,,,,,,,,,
109046,,769,2696,4329,4682,,,,,,,,,,,,,,,,,,
109047,,2207,5693,8346,8683,,,,,,,,,,,,,,,,,,
109048,,286,1367,3133,3469,,,,,,,,,,,,,,,,,,
109049,,2020,5929,8472,8825,,,,,,,,,,,,,,,,,,
110002,,0,45,45,45,,,,,,,,,,,,,,,,,,
110006,,8,8,8,8,,,,,,,,,,,,,,,,,,
110007,,6,6,6,6,,,,,,,,,,,,,,,,,,
110009,,50,50,50,50,,,,,,,,,,,,,,,,,,
110010,,6,6,6,6,,,,,,,,,,,,,,,,,,
110012,,38,180,180,180,,,,,,,,,,,,,,,,,,
110024,,0,325,835,845,,,,,,,,,,,,,,,,,,
110029,,58,58,58,58,,,,,,,,,,,,,,,,,,
110030,,46,46,56,56,,,,,,,,,,,,,,,,,,
110031,,2065,2091,2098,2098,,,,,,,,,,,,,,,,,,
110034,,23,23,43,43,,,,,,,,,,,,,,,,,,
110038,,99,99,99,99,,,,,,,,,,,,,,,,,,
110043,,41,48,48,48,,,,,,,,,,,,,,,,,,
110044,,0,18,18,18,,,,,,,,,,,,,,,,,,
110045,,0,2,2,2,,,,,,,,,,,,,,,,,,
110046,,0,5,5,5,,,,,,,,,,,,,,,,,,
110049,,0,4,4,4,,,,,,,,,,,,,,,,,,
110051,,77,112,112,112,,,,,,,,,,,,,,,,,,
110053,,0,0,12,12,,,,,,,,,,,,,,,,,,
110054,,0,3,3,3,,,,,,,,,,,,,,,,,,
110060,,0,2,2,2,,,,,,,,,,,,,,,,,,
110062,,0,3,218,218,,,,,,,,,,,,,,,,,,
110065,,312,315,315,315,,,,,,,,,,,,,,,,,,
110068,,27,770,2095,2112,,,,,,,,,,,,,,,,,,
110069,,0,11,11,11,,,,,,,,,,,,,,,,,,
110070,,0,369,593,600,,,,,,,,,,,,,,,,,,
110071,,0,212,335,335,,,,,,,,,,,,,,,,,,
110072,,0,0,36,36,,,,,,,,,,,,,,,,,,
110074,,0,209,421,421,,,,,,,,,,,,,,,,,,
110075,,0,835,1224,1224,,,,,,,,,,,,,,,,,,
111001,,0,1691,1932,1932,,,,,,,,,,,,,,,,,,
111002,,0,961,1023,1023,,,,,,,,,,,,,,,,,,
111003,,0,1367,1367,1367,,,,,,,,,,,,,,,,,,
111004,,61,75,75,75,,,,,,,,,,,,,,,,,,
111005,,724,2128,2607,2676,,,,,,,,,,,,,,,,,,
111006,,411,610,660,660,,,,,,,,,,,,,,,,,,
111007,,990,2050,2050,2050,,,,,,,,,,,,,,,,,,
111008,,408,414,417,417,,,,,,,,,,,,,,,,,,
111009,,148,153,153,153,,,,,,,,,,,,,,,,,,
111010,,2441,2812,3190,3197,,,,,,,,,,,,,,,,,,
111011,,1670,1738,1738,1738,,,,,,,,,,,,,,,,,,
111013,,457,2436,4200,4472,,,,,,,,,,,,,,,,,,
111014,,0,44,44,44,,,,,,,,,,,,,,,,,,
111015,,98,385,1288,1288,,,,,,,,,,,,,,,,,,
111016,,194,2209,3966,4008,,,,,,,,,,,,,,,,,,
111017,,0,1,1,1,,,,,,,,,,,,,,,,,,
111020,,0,1,1,1,,,,,,,,,,,,,,,,,,
112001,,2416,3330,3438,3438,,,,,,,,,,,,,,,,,,
112002,,4236,8454,9069,9072,,,,,,,,,,,,,,,,,,
112003,,762,2527,2845,2945,,,,,,,,,,,,,,,,,,
112004,,86,1186,1461,1526,,,,,,,,,,,,,,,,,,
