,,Desmatamento (ha):bar:100,,,,,,,,Desmatamento total  (ha),Usinas Hidrelétricas,,,PCHs,,,Mineração (t),
2004259,,1432,1456,1456,1456,,,,,5800,,,,,,,,
2005007,,0,2,2,2,,,,,6,,,,,,,,
2005012,,0,20,20,20,,,,,60,,,,,,,,
2005020,,0,0,7,7,,,,,14,,,,,,,,
2005024,,0,3,3,3,,,,,9,,,,,,,,
2005028,,0,1,1,1,,,,,3,,,,,,,,
2005039,,0,9,9,9,,,,,27,,,,,,,,
2005041,,0,10,10,10,,,,,30,,,,,,,,
2005043,,0,15,15,15,,,,,45,,,,,,,,
2005047,,0,15,15,15,,,,,45,,,,,,,,
2005048,,0,25,25,25,,,,,75,,,,,,,,
2005049,,0,17,17,17,,,,,51,,,,,,,,
2005050,,73,86,86,86,,,,,331,,,,,,,,
2005076,,0,10,10,10,,,,,30,,,,,,,,
2005078,,0,0,31,31,,,,,62,,,,,,,,
2005084,,0,70,76,83,,,,,229,,,,,,,,
2005087,,0,1,1,1,,,,,3,,,,,,,,
2005089,,0,1,1,1,,,,,3,,,,,,,,
2005095,,0,32,32,32,,,,,96,,,,,,,,
2005098,,11,15,15,15,,,,,56,,,,,,,,
2005103,,57,82,89,89,,,,,317,,,,,,,,
2005104,,7,16,16,16,,,,,55,,,,,,,,
2005107,,13,17,17,17,,,,,64,,,,,,,,
2005109,,251,364,392,392,,,,,1399,,,,,,,,
2005111,,0,0,0,7,,,,,7,,,,,,,,
2005112,,276,436,480,480,,,,,1672,,,,,,,,
2005113,,1877,2791,2791,2791,,,,,10250,,,,,,,,
2005114,,1064,1406,1448,1448,,,,,5366,,,,,,,,
2005116,,0,37,37,37,,,,,111,,,,,,,,
2005117,,1749,2266,2318,2325,,,,,8658,,,,,,,,
2005118,,192,305,314,321,,,,,1132,,,,,,,,
2005123,,0,43,63,63,,,,,169,,,,,,,,
2005124,,0,3,19,19,,,,,41,,,,,,,,
2005126,,0,24,36,36,,,,,96,,,,,,,,
2005127,,29,69,137,167,,,,,402,,,,,,,,
2005128,,0,3,3,3,,,,,9,,,,,,,,
2005130,,194,209,217,217,,,,,837,,,,,,,,
2006037,,4,4,5,5,,,,,18,,,,,,,,
2006045,,0,9,19,19,,,,,47,,,,,,,,
2006054,,243,249,249,249,,,,,990,,,,,,,,
2006055,,0,3,3,3,,,,,9,,,,,,,,
2006056,,0,28,29,29,,,,,86,,,,,,,,
2006063,,0,38,48,48,,,,,134,,,,,,,,
2006064,,60,60,60,60,,,,,240,,,,,,,,
2006068,,8,8,8,8,,,,,32,,,,,,,,
2006074,,0,17,17,17,,,,,51,,,,,,,,
2006076,,0,1,1,1,,,,,3,,,,,,,,
2006080,,0,2,10,10,,,,,22,,,,,,,,
2006082,,0,146,212,212,,,,,570,,,,,,,,
2006089,,0,189,216,216,,,,,621,,,,,,,,
2006096,,0,236,236,236,,,,,708,,,,,,,,
2006097,,0,5,29,29,,,,,63,,,,,,,,
2006099,,0,3,3,3,,,,,9,,,,,,,,
2006100,,410,442,469,469,,,,,1790,,,,,,,,
2006101,,12,89,96,96,,,,,293,,,,,,,,
2006102,,1016,1059,1128,1128,,,,,4331,,,,,,,,
2006104,,56,206,417,443,,,,,1122,,,,,,,,
2006105,,4543,5504,6617,6697,,,,,23361,,,,,,,,
2006106,,29,63,127,138,,,,,357,,,,,,,,
2006107,,2113,2416,2706,2722,,,,,9957,,,,,,,,
2006108,,8320,9464,10595,10616,,,,,38995,,,,,,,,
