,,Desmatamento (ha):bar:100,,,,,,,,Desmatamento total  (ha),Usinas Hidrelétricas,,,PCHs,,,Mineração (t),
213031,,6399,7585,9394,9573,,,,,32951,,,,,,,,
213032,,2438,4810,8162,8996,,,,,24406,,,,,,,,
213033,,0,6,59,71,,,,,136,,,,,,,,
213034,,8,30,84,132,,,,,254,,,,,,,,
213035,,841,1704,2910,3256,,,,,8711,,,,,,,,
213036,,0,39,186,438,,,,,663,,,,,,,,
213037,,0,226,565,841,,,,,1632,,,,,,,,
213038,,0,2,2,254,,,,,258,,,,,,,,
213039,,80,258,750,804,,,,,1892,,,,,,,,
214001,,14,519,824,824,,,,,2181,,,,,,,,
214003,,0,162,236,236,,,,,634,,,,,,,,
214004,,0,104,321,321,,,,,746,,,,,,,,
214005,,0,159,190,190,,,,,539,,,,,,,,
214006,,0,137,298,298,,,,,733,,,,,,,,
214007,,3073,3807,4634,4752,,,,,16266,,,,,,,,
214008,,199,243,275,275,,,,,992,,,,,,,,
214009,,749,1037,1264,1417,,,,,4467,,,,,,,,
214010,,0,0,0,0,,,,,0,,,,,,,,
214011,,1241,1495,1585,1614,,,,,5935,,,,,,,,
214012,,5332,6346,7133,7233,,,,,26044,,,,,,,,
214014,,0,36,36,36,,,,,108,,,,,,,,
214016,,0,5,5,5,,,,,15,,,,,,,,
214019,,1102,1109,1109,1109,,,,,4429,,,,,,,,
214020,,0,65,65,65,,,,,195,,,,,,,,
214021,,206,404,446,460,,,,,1516,,,,,,,,
214024,,0,278,278,278,,,,,834,,,,,,,,
214025,,4215,5083,5679,5836,,,,,20813,,,,,,,,
214027,,882,2109,2160,2160,,,,,7311,,,,,,,,
214029,,0,541,692,692,,,,,1925,,,,,,,,
214031,,301,827,861,861,,,,,2850,,,,,,,,
214032,,246,500,593,593,,,,,1932,,,,,,,,
214037,,0,9,23,23,,,,,55,,,,,,,,
214039,,10,10,17,17,,,,,54,,,,,,,,
214040,,864,1491,1603,1603,,,,,5561,,,,,,,,
214041,,31,31,31,31,,,,,124,,,,,,,,
214044,,268,439,1111,1143,,,,,2961,,,,,,,,
214046,,182,695,1918,2044,,,,,4839,,,,,,,,
214047,,793,1638,2710,3128,,,,,8269,,,,,,,,
214048,,0,5,13,13,,,,,31,,,,,,,,
214049,,2104,3705,4755,4876,,,,,15440,,,,,,,,
214050,,930,961,2699,2851,,,,,7441,,,,,,,,
214051,,4,4,217,217,,,,,442,,,,,,,,
214052,,0,287,754,924,,,,,1965,,,,,,,,
214053,,0,672,1025,1071,,,,,2768,,,,,,,,
214054,,915,980,1073,1276,,,,,4244,,,,,,,,
214055,,454,724,1014,1066,,,,,3258,,,,,,,,
214056,,2953,4976,6033,6061,,,,,20023,,,,,,,,
214057,,2897,5721,6529,6712,,,,,21859,,,,,,,,
214058,,0,243,1083,1628,,,,,2954,,,,,,,,
214059,,1196,1724,2613,2881,,,,,8414,,,,,,,,
214060,,220,570,601,601,,,,,1992,,,,,,,,
214061,,75,1871,3573,3996,,,,,9515,,,,,,,,
214062,,0,2693,8808,8942,,,,,20443,,,,,,,,
214063,,2374,2764,3360,3418,,,,,11916,,,,,,,,
214064,,7468,11855,13479,13887,,,,,46689,,,,,,,,
214066,,1022,1727,2789,2865,,,,,8403,,,,,,,,
214067,,2107,4152,5200,5326,,,,,16785,,,,,,,,
214068,,0,0,0,50,,,,,50,,,,,,,,
214069,,687,2594,4624,4724,,,,,12629,,,,,,,,
214071,,204,218,1373,1693,,,,,3488,,,,,,,,
214072,,1046,1232,1868,2278,,,,,6424,,,,,,,,
214073,,2899,5629,7814,8338,,,,,24680,,,,,,,,
214074,,0,191,232,232,,,,,655,,,,,,,,
214075,,384,1112,3597,3657,,,,,8750,,,,,,,,
214076,,541,1028,1216,1322,,,,,4107,,,,,,,,
214077,,200,2176,4034,4329,,,,,10739,,,,,,,,
214078,,1236,2179,3003,3019,,,,,9437,,,,,,,,
214079,,0,82,365,375,,,,,822,,,,,,,,
214080,,2426,4978,6088,6172,,,,,19664,,,,,,,,
214081,,1635,2741,4182,4689,,,,,13247,,,,,,,,
214082,,0,1002,1232,1232,,,,,3466,,,,,,,,
214083,,78,2556,5085,5343,,,,,13062,,,,,,,,
214084,,27,12073,20058,20881,,,,,53039,,,,,,,,
214085,,723,1594,2638,3368,,,,,8323,,,,,,,,
214086,,0,1530,2947,2947,,,,,7424,,,,,,,,
214087,,4659,5344,5770,5852,,,,,21625,,,,,,,,
214088,,184,4211,5912,6254,,,,,16561,,,,,,,,
214089,,2488,3456,4614,5273,,,,,15831,,,,,,,,
214090,,199,223,551,571,,,,,1544,,,,,,,,
214091,,594,1319,1541,1700,,,,,5154,,,,,,,,
214092,,0,2775,3743,3883,,,,,10401,,,,,,,,
214093,,269,1115,1395,1398,,,,,4177,,,,,,,,
214094,,5682,16621,23990,24302,,,,,70595,,,,,,,,
214095,,3260,4248,4398,4398,,,,,16304,,,,,,,,
214096,,167,962,2649,2761,,,,,6539,,,,,,,,
214097,,10,546,725,732,,,,,2013,,,,,,,,
214098,,0,32,32,32,,,,,96,,,,,,,,
214099,,20,2002,2192,2741,,,,,6955,,,,,,,,
214100,,178,308,344,354,,,,,1184,,,,,,,,
214101,,0,82,93,93,,,,,268,,,,,,,,
214102,,0,21,31,31,,,,,83,,,,,,,,
214103,,186,366,1055,1078,,,,,2685,,,,,,,,
214104,,545,1816,2647,2684,,,,,7692,,,,,,,,
214105,,14513,21221,24125,24136,,,,,83995,,,,,,,,
214106,,4259,4915,5311,5327,,,,,19812,,,,,,,,
214107,,0,57,57,57,,,,,171,,,,,,,,
214108,,205,1227,3356,3422,,,,,8210,,,,,,,,
214109,,452,480,480,487,,,,,1899,,,,,,,,
214110,,173,210,348,348,,,,,1079,,,,,,,,
214111,,0,178,347,347,,,,,872,,,,,,,,
214112,,8599,8856,9522,9931,,,,,36908,,,,,,,,
214113,,0,17,225,225,,,,,467,,,,,,,,
214114,,538,1215,1982,1982,,,,,5717,,,,,,,,
214115,,10946,14764,15763,15763,,,,,57236,,,,,,,,
214116,,1987,4240,5515,5754,,,,,17496,,,,,,,,
214117,,9001,12056,13258,13299,,,,,47614,,,,,,,,
214118,,200,1113,1484,1484,,,,,4281,,,,,,,,
214119,,49,112,364,405,,,,,930,,,,,,,,
214120,,0,20,122,122,,,,,264,,,,,,,,
214121,,7,7,20,20,,,,,54,,,,,,,,
214122,,3676,4990,6868,6875,,,,,22409,,,,,,,,
214123,,35,39,117,117,,,,,308,,,,,,,,
214124,,2229,4682,6027,6418,,,,,19356,,,,,,,,
214125,,346,659,1609,1696,,,,,4310,,,,,,,,
214126,,117,245,259,259,,,,,880,,,,,,,,
214127,,370,446,446,446,,,,,1708,,,,,,,,
214128,,883,1518,1917,2233,,,,,6551,,,,,,,,
214129,,9,419,1217,1217,,,,,2862,,,,,,,,
214130,,5,474,717,717,,,,,1913,,,,,,,,
214131,,101,237,329,329,,,,,996,,,,,,,,
214132,,297,494,531,567,,,,,1889,,,,,,,,
214133,,202,1471,3980,4042,,,,,9695,,,,,,,,
214134,,570,3611,5333,5333,,,,,14847,,,,,,,,
214135,,499,1960,4193,4586,,,,,11238,,,,,,,,
214136,,26,33,40,40,,,,,139,,,,,,,,
214137,,247,2190,3356,3429,,,,,9222,,,,,,,,
214138,,11890,19699,23484,23619,,,,,78692,,,,,,,,
214139,,1710,3441,3557,3625,,,,,12333,,,,,,,,
214140,,125,633,643,643,,,,,2044,,,,,,,,
214141,,64,6132,10968,11730,,,,,28894,,,,,,,,
214142,,0,22,22,22,,,,,66,,,,,,,,
214143,,2663,4565,5408,5431,,,,,18067,,,,,,,,
214144,,4,66,66,66,,,,,202,,,,,,,,
214145,,26,361,1360,1360,,,,,3107,,,,,,,,
214146,,114,874,1076,1119,,,,,3183,,,,,,,,
214147,,646,1579,1791,1820,,,,,5836,,,,,,,,
214148,,0,33,33,33,,,,,99,,,,,,,,
214149,,68,301,424,424,,,,,1217,,,,,,,,
214150,,74,1721,4588,4972,,,,,11355,,,,,,,,
214151,,33,457,577,577,,,,,1644,,,,,,,,
214152,,520,1869,3369,3432,,,,,9190,,,,,,,,
214153,,11,544,1615,1617,,,,,3787,,,,,,,,
214154,,22,213,213,213,,,,,661,,,,,,,,
214155,,1811,2350,2393,2393,,,,,8947,,,,,,,,
214156,,464,1898,1977,2041,,,,,6380,,,,,,,,
214158,,446,1089,2256,2256,,,,,6047,,,,,,,,
214159,,0,1633,2924,2924,,,,,7481,,,,,,,,
214161,,479,4691,4800,4800,,,,,14770,,,,,,,,
214162,,97,284,298,298,,,,,977,,,,,,,,
214163,,0,101,101,101,,,,,303,,,,,,,,
214164,,3856,7061,8677,9446,,,,,29040,,,,,,,,
214165,,33,111,111,111,,,,,366,,,,,,,,
214166,,1117,3069,3781,3797,,,,,11764,,,,,,,,
214167,,26,33,41,41,,,,,141,,,,,,,,
214168,,136,1610,3311,3321,,,,,8378,,,,,,,,
214169,,58,803,803,803,,,,,2467,,,,,,,,
214170,,258,2889,6335,6337,,,,,15819,,,,,,,,
214172,,0,1268,1871,1871,,,,,5010,,,,,,,,
214173,,12,155,170,170,,,,,507,,,,,,,,
214174,,94,99,178,196,,,,,567,,,,,,,,
214175,,0,1213,1312,1312,,,,,3837,,,,,,,,
214176,,0,864,3926,3930,,,,,8720,,,,,,,,
214177,,14,57,80,80,,,,,231,,,,,,,,
214178,,2039,6001,7228,7291,,,,,22559,,,,,,,,
214179,,0,152,757,757,,,,,1666,,,,,,,,
214180,,340,509,600,628,,,,,2077,,,,,,,,
214182,,0,1506,1516,1516,,,,,4538,,,,,,,,
214183,,0,167,864,864,,,,,1895,,,,,,,,
214184,,5731,9248,12038,12194,,,,,39211,,,,,,,,
214185,,428,692,848,913,,,,,2881,,,,,,,,
214186,,0,79,90,90,,,,,259,,,,,,,,
214187,,0,21,27,27,,,,,75,,,,,,,,
214188,,165,1396,1430,1430,,,,,4421,,,,,,,,
214189,,71,635,689,695,,,,,2090,,,,,,,,
214190,,0,3,3,3,,,,,9,,,,,,,,
214191,,0,1022,1029,1029,,,,,3080,,,,,,,,
214192,,1422,8822,11000,11176,,,,,32420,,,,,,,,
214193,,0,981,1100,1100,,,,,3181,,,,,,,,
214194,,9007,12701,13383,13383,,,,,48474,,,,,,,,
214195,,31,572,572,572,,,,,1747,,,,,,,,
214196,,16,697,1033,1033,,,,,2779,,,,,,,,
214197,,322,322,352,352,,,,,1348,,,,,,,,
214198,,90,333,333,339,,,,,1095,,,,,,,,
214199,,0,735,2330,2604,,,,,5669,,,,,,,,
214201,,0,237,247,247,,,,,731,,,,,,,,
214202,,0,97,97,97,,,,,291,,,,,,,,
214203,,724,2047,2245,2297,,,,,7313,,,,,,,,
214204,,200,5079,6862,7152,,,,,19293,,,,,,,,
214205,,3324,23687,32206,32305,,,,,91522,,,,,,,,
214206,,0,6,6,6,,,,,18,,,,,,,,
214207,,0,163,163,163,,,,,489,,,,,,,,
214208,,56,1708,1899,1909,,,,,5572,,,,,,,,
214209,,0,6,6,6,,,,,18,,,,,,,,
214211,,11985,21391,22255,22262,,,,,77893,,,,,,,,
214212,,0,506,506,506,,,,,1518,,,,,,,,
214213,,0,25,25,25,,,,,75,,,,,,,,
214214,,5,82,82,82,,,,,251,,,,,,,,
214215,,0,1549,1549,1549,,,,,4647,,,,,,,,
214216,,0,53,53,53,,,,,159,,,,,,,,
214217,,0,1868,2295,2295,,,,,6458,,,,,,,,
214218,,959,2351,2921,3041,,,,,9272,,,,,,,,
214219,,2562,5060,5863,6098,,,,,19583,,,,,,,,
214220,,0,1686,1686,1686,,,,,5058,,,,,,,,
214221,,124,747,1396,1550,,,,,3817,,,,,,,,
214222,,0,12,18,18,,,,,48,,,,,,,,
214223,,15,153,153,153,,,,,474,,,,,,,,
214224,,0,111,111,111,,,,,333,,,,,,,,
214227,,0,16,16,16,,,,,48,,,,,,,,
214228,,442,2514,3945,4047,,,,,10948,,,,,,,,
214229,,0,0,0,0,,,,,0,,,,,,,,
214231,,0,16,16,16,,,,,48,,,,,,,,
214233,,440,1817,3688,4248,,,,,10193,,,,,,,,
214234,,904,8351,11108,11173,,,,,31536,,,,,,,,
214235,,0,475,475,475,,,,,1425,,,,,,,,
214236,,1446,2915,3905,3986,,,,,12252,,,,,,,,
214237,,1605,1891,2098,2098,,,,,7692,,,,,,,,
214238,,11,623,644,644,,,,,1922,,,,,,,,
214239,,730,1402,2247,2265,,,,,6644,,,,,,,,
214240,,0,645,645,645,,,,,1935,,,,,,,,
214241,,1217,2423,2748,2760,,,,,9148,,,,,,,,
214242,,589,982,1072,1072,,,,,3715,,,,,,,,
214243,,691,1289,1400,1400,,,,,4780,,,,,,,,
214244,,3208,4735,4867,4867,,,,,17677,,,,,,,,
214246,,1179,3592,5538,5803,,,,,16112,,,,,,,,
215002,,8,12,12,12,,,,,44,,,,,,,,
215003,,22,31,31,31,,,,,115,,,,,,,,
215004,,20,20,20,20,,,,,80,,,,,,,,
215005,,23,23,23,23,,,,,92,,,,,,,,
215007,,52,52,52,52,,,,,208,,,,,,,,
215008,,0,0,0,10,,,,,10,,,,,,,,
215010,,63,63,63,135,,,,,324,,,,,,,,
215011,,130,133,133,192,,,,,588,,,,,,,,
215012,,326,337,352,352,,,,,1367,,,,,,,,
215013,,107,144,153,153,,,,,557,,,,,,,,
215014,,0,0,43,43,,,,,86,,,,,,,,
215016,,14,14,14,14,,,,,56,,,,,,,,
215017,,580,588,639,732,,,,,2539,,,,,,,,
215018,,164,165,171,189,,,,,689,,,,,,,,
215019,,6,8,8,22,,,,,44,,,,,,,,
215020,,107,107,118,118,,,,,450,,,,,,,,
215021,,65,66,80,87,,,,,298,,,,,,,,
215022,,13,13,13,13,,,,,52,,,,,,,,
215023,,372,584,829,910,,,,,2695,,,,,,,,
215024,,42,85,112,112,,,,,351,,,,,,,,
215025,,748,763,785,927,,,,,3223,,,,,,,,
215026,,2088,3353,4009,4157,,,,,13607,,,,,,,,
215027,,1411,1594,1714,2120,,,,,6839,,,,,,,,
215028,,87,1149,2289,2576,,,,,6101,,,,,,,,
216001,,374,504,588,588,,,,,2054,,,,,,,,
216004,,2041,2110,2141,2163,,,,,8455,,,,,,,,
216007,,299,351,360,389,,,,,1399,,,,,,,,
216009,,140,140,140,140,,,,,560,,,,,,,,
216010,,31,31,31,31,,,,,124,,,,,,,,
216011,,41,41,48,48,,,,,178,,,,,,,,
216012,,6,6,6,6,,,,,24,,,,,,,,
216014,,14,14,14,14,,,,,56,,,,,,,,
216017,,3,3,5,5,,,,,16,,,,,,,,
216018,,760,768,788,794,,,,,3110,,,,,,,,
216019,,14,14,14,21,,,,,63,,,,,,,,
216020,,57,88,88,88,,,,,321,,,,,,,,
216022,,0,0,0,0,,,,,0,,,,,,,,
216025,,95,120,143,143,,,,,501,,,,,,,,
216026,,200,200,207,580,,,,,1187,,,,,,,,
216027,,8,8,8,8,,,,,32,,,,,,,,
216028,,12,27,38,45,,,,,122,,,,,,,,
216029,,26,26,26,26,,,,,104,,,,,,,,
216031,,33,136,148,148,,,,,465,,,,,,,,
216032,,392,432,668,688,,,,,2180,,,,,,,,
216033,,40,51,51,149,,,,,291,,,,,,,,
216034,,174,174,174,254,,,,,776,,,,,,,,
216035,,5,5,6,6,,,,,22,,,,,,,,
216036,,218,911,1192,1347,,,,,3668,,,,,,,,
216037,,2821,3010,3273,3474,,,,,12578,,,,,,,,
216038,,2871,4151,5134,5215,,,,,17371,,,,,,,,
216039,,6037,6429,7060,7202,,,,,26728,,,,,,,,
216040,,64,123,123,123,,,,,433,,,,,,,,
216041,,223,360,487,517,,,,,1587,,,,,,,,
216042,,913,940,940,940,,,,,3733,,,,,,,,
216043,,513,515,515,522,,,,,2065,,,,,,,,
216044,,1841,2313,2563,2597,,,,,9314,,,,,,,,
216045,,1873,2613,3740,4143,,,,,12369,,,,,,,,
216046,,827,843,843,843,,,,,3356,,,,,,,,
216047,,1090,1212,1222,1265,,,,,4789,,,,,,,,
216048,,91,193,212,234,,,,,730,,,,,,,,
216049,,0,8,42,42,,,,,92,,,,,,,,
216050,,54,54,54,54,,,,,216,,,,,,,,
216051,,1052,1349,1557,1594,,,,,5552,,,,,,,,
216052,,1022,1224,1275,1275,,,,,4796,,,,,,,,
216053,,1876,2296,2346,2353,,,,,8871,,,,,,,,
216054,,831,852,894,944,,,,,3521,,,,,,,,
216055,,284,288,288,303,,,,,1163,,,,,,,,
216056,,79,92,92,92,,,,,355,,,,,,,,
216057,,0,0,0,7,,,,,7,,,,,,,,
216058,,3509,5130,5328,5356,,,,,19323,,,,,,,,
216059,,0,167,180,180,,,,,527,,,,,,,,
216060,,98,1606,1676,1676,,,,,5056,,,,,,,,
216062,,216,236,278,327,,,,,1057,,,,,,,,
216063,,0,1184,1194,1202,,,,,3580,,,,,,,,
216064,,9,73,73,73,,,,,228,,,,,,,,
216066,,1000,1183,1386,1496,,,,,5065,,,,,,,,
216067,,173,186,199,199,,,,,757,,,,,,,,
216068,,384,483,510,550,,,,,1927,,,,,,,,
216070,,2032,2137,2253,2287,,,,,8709,,,,,,,,
217001,,143,146,170,170,,,,,629,,,,,,,,
217002,,38,47,53,53,,,,,191,,,,,,,,
217003,,85,91,91,91,,,,,358,,,,,,,,
217004,,144,157,321,362,,,,,984,,,,,,,,
217005,,13,13,13,27,,,,,66,,,,,,,,
217006,,4,9,9,9,,,,,31,,,,,,,,
217007,,198,236,243,243,,,,,920,,,,,,,,
217009,,22,24,24,24,,,,,94,,,,,,,,
217012,,18,23,23,23,,,,,87,,,,,,,,
217016,,11,11,11,11,,,,,44,,,,,,,,
217018,,37,37,37,37,,,,,148,,,,,,,,
217020,,275,320,327,336,,,,,1258,,,,,,,,
217022,,0,0,17,17,,,,,34,,,,,,,,
217023,,16,16,16,16,,,,,64,,,,,,,,
217024,,16,16,16,16,,,,,64,,,,,,,,
217026,,18,35,35,35,,,,,123,,,,,,,,
217027,,61,88,88,98,,,,,335,,,,,,,,
217028,,0,14,14,14,,,,,42,,,,,,,,
217029,,0,27,27,27,,,,,81,,,,,,,,
217030,,0,104,104,104,,,,,312,,,,,,,,
217031,,109,148,148,170,,,,,575,,,,,,,,
217033,,0,297,297,297,,,,,891,,,,,,,,
218002,,0,2,9,9,,,,,20,,,,,,,,
218003,,152,169,179,182,,,,,682,,,,,,,,
218004,,14,165,165,165,,,,,509,,,,,,,,
218006,,0,2,2,2,,,,,6,,,,,,,,
218007,,0,87,96,96,,,,,279,,,,,,,,
218008,,0,24,24,24,,,,,72,,,,,,,,
218010,,32,66,117,117,,,,,332,,,,,,,,
218011,,0,6,6,6,,,,,18,,,,,,,,
218012,,0,250,250,250,,,,,750,,,,,,,,
218013,,142,156,171,171,,,,,640,,,,,,,,
218015,,0,83,83,90,,,,,256,,,,,,,,
218016,,0,36,108,115,,,,,259,,,,,,,,
218017,,0,9,9,9,,,,,27,,,,,,,,
218020,,0,11,11,11,,,,,33,,,,,,,,
218021,,0,11,11,11,,,,,33,,,,,,,,
218024,,0,49,56,56,,,,,161,,,,,,,,
218028,,0,11,11,11,,,,,33,,,,,,,,
218029,,0,7,7,7,,,,,21,,,,,,,,
218033,,0,1,1,1,,,,,3,,,,,,,,
218036,,53,53,53,53,,,,,212,,,,,,,,
218037,,0,78,78,78,,,,,234,,,,,,,,
218038,,0,526,526,526,,,,,1578,,,,,,,,
218039,,0,466,484,484,,,,,1434,,,,,,,,
218040,,0,366,366,366,,,,,1098,,,,,,,,
218041,,0,549,549,549,,,,,1647,,,,,,,,
218042,,0,56,56,56,,,,,168,,,,,,,,
218043,,0,305,305,305,,,,,915,,,,,,,,
218044,,0,72,72,72,,,,,216,,,,,,,,
218045,,0,121,121,121,,,,,363,,,,,,,,
218046,,0,2,2,2,,,,,6,,,,,,,,
218047,,0,446,446,446,,,,,1338,,,,,,,,
219001,,0,21,31,31,,,,,83,,,,,,,,
219005,,0,51,51,51,,,,,153,,,,,,,,
219006,,0,25,25,25,,,,,75,,,,,,,,
219010,,110,118,118,118,,,,,464,,,,,,,,
219012,,0,1,1,1,,,,,3,,,,,,,,
219015,,0,3,3,3,,,,,9,,,,,,,,
219016,,0,52,52,52,,,,,156,,,,,,,,
219018,,0,16,16,16,,,,,48,,,,,,,,
219019,,36,36,36,36,,,,,144,,,,,,,,
219022,,0,39,39,39,,,,,117,,,,,,,,
219023,,15,15,15,15,,,,,60,,,,,,,,
219035,,0,8,8,8,,,,,24,,,,,,,,
219037,,0,7,7,7,,,,,21,,,,,,,,
219039,,0,235,276,276,,,,,787,,,,,,,,
220001,,0,38,38,38,,,,,114,,,,,,,,
220002,,0,19,28,28,,,,,75,,,,,,,,
220003,,0,17,17,17,,,,,51,,,,,,,,
220004,,0,4,4,4,,,,,12,,,,,,,,
220007,,0,422,422,422,,,,,1266,,,,,,,,
220009,,0,74,110,110,,,,,294,,,,,,,,
220010,,10,29,29,29,,,,,97,,,,,,,,
220011,,0,66,75,75,,,,,216,,,,,,,,
220013,,0,4,4,4,,,,,12,,,,,,,,
220014,,0,89,89,89,,,,,267,,,,,,,,
220016,,0,105,105,105,,,,,315,,,,,,,,
220017,,0,47,47,47,,,,,141,,,,,,,,
220018,,0,53,53,53,,,,,159,,,,,,,,
220022,,0,205,205,205,,,,,615,,,,,,,,
220024,,0,65,65,65,,,,,195,,,,,,,,
220025,,0,16,16,16,,,,,48,,,,,,,,
220026,,0,48,59,59,,,,,166,,,,,,,,
220027,,0,69,69,69,,,,,207,,,,,,,,
220028,,0,702,703,703,,,,,2108,,,,,,,,
220029,,0,1404,2089,2146,,,,,5639,,,,,,,,
221001,,0,98,98,98,,,,,294,,,,,,,,
221002,,0,67,67,67,,,,,201,,,,,,,,
221003,,0,233,233,233,,,,,699,,,,,,,,
221004,,0,72,72,72,,,,,216,,,,,,,,
221007,,0,210,210,210,,,,,630,,,,,,,,
221008,,0,124,124,124,,,,,372,,,,,,,,
221010,,0,395,395,395,,,,,1185,,,,,,,,
221011,,0,116,116,116,,,,,348,,,,,,,,
221014,,0,78,78,78,,,,,234,,,,,,,,
221016,,0,353,353,353,,,,,1059,,,,,,,,
221017,,0,275,275,275,,,,,825,,,,,,,,
221020,,0,87,87,87,,,,,261,,,,,,,,
221023,,0,0,1,1,,,,,2,,,,,,,,
221024,,0,357,587,747,,,,,1691,,,,,,,,
221025,,0,646,685,702,,,,,2033,,,,,,,,
222020,,20,22,22,22,,,,,86,,,,,,,,
222021,,26,29,29,29,,,,,113,,,,,,,,
222023,,1095,1140,1140,1140,,,,,4515,,,,,,,,
222026,,623,646,646,646,,,,,2561,,,,,,,,
222028,,49,49,49,49,,,,,196,,,,,,,,
222029,,36,36,36,36,,,,,144,,,,,,,,
222030,,116,116,116,116,,,,,464,,,,,,,,
222031,,54,54,54,54,,,,,216,,,,,,,,
222037,,225,225,233,233,,,,,916,,,,,,,,
222038,,241,800,920,1490,,,,,3451,,,,,,,,
222039,,49,49,49,49,,,,,196,,,,,,,,
222041,,389,390,391,391,,,,,1561,,,,,,,,
222044,,2302,9411,10753,11706,,,,,34172,,,,,,,,
222045,,4583,10277,11029,11175,,,,,37064,,,,,,,,
222046,,107,107,107,107,,,,,428,,,,,,,,
222047,,4,4,15,15,,,,,38,,,,,,,,
222049,,2554,5449,6258,6258,,,,,20519,,,,,,,,
222050,,0,0,8,8,,,,,16,,,,,,,,
222051,,0,2422,3138,3138,,,,,8698,,,,,,,,
222053,,29,463,561,561,,,,,1614,,,,,,,,
222054,,225,1998,2423,2434,,,,,7080,,,,,,,,
222055,,75,293,1109,1129,,,,,2606,,,,,,,,
222056,,3072,6862,7070,7074,,,,,24078,,,,,,,,
222057,,2322,4073,4298,4298,,,,,14991,,,,,,,,
222059,,1746,5258,6365,6365,,,,,19734,,,,,,,,
222060,,530,3800,7992,7992,,,,,20314,,,,,,,,
222061,,50,211,639,639,,,,,1539,,,,,,,,
222062,,8521,16521,18405,18405,,,,,61852,,,,,,,,
223002,,268,1596,2100,2137,,,,,6101,,,,,,,,
223003,,640,1344,1800,1800,,,,,5584,,,,,,,,
223005,,0,814,1396,1396,,,,,3606,,,,,,,,
223007,,0,789,812,812,,,,,2413,,,,,,,,
223008,,1987,2825,3888,4274,,,,,12974,,,,,,,,
223009,,0,1232,1265,1265,,,,,3762,,,,,,,,
223010,,0,4663,5938,5938,,,,,16539,,,,,,,,
223011,,0,3661,6739,6742,,,,,17142,,,,,,,,
223012,,1319,2226,2882,2892,,,,,9319,,,,,,,,
223013,,1214,1352,2554,2554,,,,,7674,,,,,,,,
223014,,0,476,1331,1332,,,,,3139,,,,,,,,
223015,,488,2789,3216,3396,,,,,9889,,,,,,,,
223016,,0,57,65,65,,,,,187,,,,,,,,
223017,,0,1372,2009,2012,,,,,5393,,,,,,,,
223018,,0,637,815,815,,,,,2267,,,,,,,,
223019,,1306,2102,2356,2356,,,,,8120,,,,,,,,
223020,,0,548,556,556,,,,,1660,,,,,,,,
223021,,0,2890,3959,3989,,,,,10838,,,,,,,,
223022,,1413,4915,6123,6299,,,,,18750,,,,,,,,
223023,,74,1476,2175,2197,,,,,5922,,,,,,,,
223024,,419,4742,6663,6682,,,,,18506,,,,,,,,
223025,,1560,4211,5796,6104,,,,,17671,,,,,,,,
223026,,1030,3432,6011,6091,,,,,16564,,,,,,,,
223027,,3592,6410,8125,8226,,,,,26353,,,,,,,,
223028,,11,76,76,76,,,,,239,,,,,,,,
223029,,5509,19105,24792,25302,,,,,74708,,,,,,,,
223030,,4874,6796,6882,6882,,,,,25434,,,,,,,,
223031,,7547,10376,11486,11626,,,,,41035,,,,,,,,
223032,,9203,11773,12589,12640,,,,,46205,,,,,,,,
223033,,7627,13788,15942,16041,,,,,53398,,,,,,,,
223034,,6871,9750,10246,10246,,,,,37113,,,,,,,,
223035,,1146,4362,5765,6175,,,,,17448,,,,,,,,
223036,,281,3903,5902,5928,,,,,16014,,,,,,,,
223037,,3049,5814,6485,6533,,,,,21881,,,,,,,,
223038,,4267,7050,7435,7435,,,,,26187,,,,,,,,
223039,,17592,23459,24568,24609,,,,,90228,,,,,,,,
223040,,2610,5172,6123,6166,,,,,20071,,,,,,,,
223041,,879,2980,4605,4702,,,,,13166,,,,,,,,
223042,,12319,19804,23005,23387,,,,,78515,,,,,,,,
223043,,1131,2739,3063,3064,,,,,9997,,,,,,,,
223044,,4392,6628,7247,7517,,,,,25784,,,,,,,,
223045,,1159,3287,4182,4291,,,,,12919,,,,,,,,
223046,,10488,15376,18546,18698,,,,,63108,,,,,,,,
223047,,6152,15038,18703,19124,,,,,59017,,,,,,,,
224002,,84,330,448,448,,,,,1310,,,,,,,,
224003,,0,7,7,7,,,,,21,,,,,,,,
224004,,94,188,231,234,,,,,747,,,,,,,,
224005,,7348,10330,11684,11699,,,,,41061,,,,,,,,
224006,,2546,4140,4638,4638,,,,,15962,,,,,,,,
224007,,6873,8355,8477,8481,,,,,32186,,,,,,,,
224008,,12043,12764,12860,12860,,,,,50527,,,,,,,,
224009,,5754,6776,7132,7132,,,,,26794,,,,,,,,
224010,,6454,8447,8830,8830,,,,,32561,,,,,,,,
224011,,16193,21089,22119,22210,,,,,81611,,,,,,,,
224012,,13658,15942,16183,16221,,,,,62004,,,,,,,,
224013,,10132,11857,12100,12158,,,,,46247,,,,,,,,
224014,,7917,8869,9148,9148,,,,,35082,,,,,,,,
224015,,1702,3427,5503,5550,,,,,16182,,,,,,,,
224016,,15254,21731,25067,25159,,,,,87211,,,,,,,,
224017,,16566,21501,23472,23571,,,,,85110,,,,,,,,
224018,,1950,2026,2047,2047,,,,,8070,,,,,,,,
224019,,383,590,696,696,,,,,2365,,,,,,,,
224020,,1868,2686,3115,3128,,,,,10797,,,,,,,,
